Question ID,Question Text,Answer,Strand,Substrand,Year Level,Sub Level,Full Level,Model Used,Suggested Models,Enhanced System Used,Context Type,Generation Status,Questions Generated,Generation Time,Curriculum Reference,Error Message
"C1_Q1","Lily goes to the shop and buys a biscuit for £8, a game for £10. How much does Lily spend in total?","£18","Addition, subtraction, multiplication and division (calculations)","add / subtract mentally",1,3,"1.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.651Z,"Year 1 Curriculum",
"C1_Q2","Luke goes to the shop and buys a sticker for £9, a magazine for £10. How much does Luke spend in total?","£19","Addition, subtraction, multiplication and division (calculations)","add / subtract mentally",1,3,"1.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.651Z,"Year 1 Curriculum",
"C1_Q3","Chloe goes to the shop and buys a cake for £4, a pencil for £2. How much does Chloe spend in total?","£6","Addition, subtraction, multiplication and division (calculations)","add / subtract mentally",1,3,"1.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.652Z,"Year 1 Curriculum",
"C1_Q4","Oliver goes to the shop and buys a card for £1, a drink for £5. How much does Oliver spend in total?","£6","Addition, subtraction, multiplication and division (calculations)","add / subtract mentally",1,3,"1.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.652Z,"Year 1 Curriculum",
"C1_Q5","Emily goes to the shop and buys a cake for £8, a card for £1. How much does Emily spend in total?","£9","Addition, subtraction, multiplication and division (calculations)","add / subtract mentally",1,3,"1.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.652Z,"Year 1 Curriculum",
"C2_Q1","Alex goes to the shop and buys a sticker for £2, a magazine for £7. How much does Alex spend in total?","£9","Addition, subtraction, multiplication and division (calculations)","add / subtract mentally",2,3,"2.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.664Z,"Year 2 Curriculum",
"C2_Q2","Emily goes to the shop and buys a book for £1, a game for £5. How much does Emily spend in total?","£6","Addition, subtraction, multiplication and division (calculations)","add / subtract mentally",2,3,"2.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.664Z,"Year 2 Curriculum",
"C2_Q3","Katie goes to the shop and buys a pencil for £3, a game for £2. How much does Katie spend in total?","£5","Addition, subtraction, multiplication and division (calculations)","add / subtract mentally",2,3,"2.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.664Z,"Year 2 Curriculum",
"C2_Q4","Daniel goes to the shop and buys a banana for £2, a sweet for £2. How much does Daniel spend in total?","£4","Addition, subtraction, multiplication and division (calculations)","add / subtract mentally",2,3,"2.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.664Z,"Year 2 Curriculum",
"C2_Q5","Ryan goes to the shop and buys a biscuit for £3, a magazine for £20. How much does Ryan spend in total?","£23","Addition, subtraction, multiplication and division (calculations)","add / subtract mentally",2,3,"2.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.664Z,"Year 2 Curriculum",
"C3_Q1","Sam goes to the shop and buys a puzzle for £96, a notebook for £97, a apple for £69. How much does Sam spend in total?","£262","Addition, subtraction, multiplication and division (calculations)","add / subtract mentally",3,3,"3.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.680Z,"Year 3 Curriculum",
"C3_Q2","Amy goes to the shop and buys a badge for £32, a toy for £75, a notebook for £35. How much does Amy spend in total?","£142","Addition, subtraction, multiplication and division (calculations)","add / subtract mentally",3,3,"3.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.680Z,"Year 3 Curriculum",
"C3_Q3","Ryan goes to the shop and buys a magazine for £2, a sweet for £12, a badge for £67. How much does Ryan spend in total?","£81","Addition, subtraction, multiplication and division (calculations)","add / subtract mentally",3,3,"3.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.680Z,"Year 3 Curriculum",
"C3_Q4","Sarah goes to the shop and buys a eraser for £46, a comic for £21, a drink for £67. How much does Sarah spend in total?","£134","Addition, subtraction, multiplication and division (calculations)","add / subtract mentally",3,3,"3.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.680Z,"Year 3 Curriculum",
"C3_Q5","Amy goes to the shop and buys a pencil for £2, a sweet for £97, a sandwich for £50. How much does Amy spend in total?","£149","Addition, subtraction, multiplication and division (calculations)","add / subtract mentally",3,3,"3.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.680Z,"Year 3 Curriculum",
"C4_Q1","Lily goes to the shop and buys a toy for £67.50, a game for £992.91, a card for £586.34, a book for £158.80. How much does Lily spend in total?","£1805.55","Addition, subtraction, multiplication and division (calculations)","add / subtract mentally",5,3,"5.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.696Z,"Year 5 Curriculum",
"C4_Q2","Add together: £841.64, £754.15, £676.94, £455.66. What is the total?","£2728.39","Addition, subtraction, multiplication and division (calculations)","add / subtract mentally",5,3,"5.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.696Z,"Year 5 Curriculum",
"C4_Q3","Chloe goes to the shop and buys a sweet for £13.36, a magazine for £963.87, a game for £81.79, a card for £967.70. How much does Chloe spend in total?","£2026.72","Addition, subtraction, multiplication and division (calculations)","add / subtract mentally",5,3,"5.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.696Z,"Year 5 Curriculum",
"C4_Q4","Add together: £12.39, £92.29, £804.52, £16.63. What is the total?","£925.83","Addition, subtraction, multiplication and division (calculations)","add / subtract mentally",5,3,"5.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.696Z,"Year 5 Curriculum",
"C4_Q5","Add together: £713.88, £615.22, £262.82, £472.78. What is the total?","£2064.70","Addition, subtraction, multiplication and division (calculations)","add / subtract mentally",5,3,"5.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.696Z,"Year 5 Curriculum",
"C5_Q1","Lily goes to the shop and buys a toy for £4, a pen for £2. How much does Lily spend in total?","£6","Addition, subtraction, multiplication and division (calculations)","add / subtract to solve problems",1,3,"1.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.711Z,"Year 1 Curriculum",
"C5_Q2","Daniel goes to the shop and buys a banana for £1, a toy for £6. How much does Daniel spend in total?","£7","Addition, subtraction, multiplication and division (calculations)","add / subtract to solve problems",1,3,"1.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.711Z,"Year 1 Curriculum",
"C5_Q3","Tom goes to the shop and buys a poster for £7, a drink for £10. How much does Tom spend in total?","£17","Addition, subtraction, multiplication and division (calculations)","add / subtract to solve problems",1,3,"1.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.711Z,"Year 1 Curriculum",
"C5_Q4","Emily goes to the shop and buys a puzzle for £4, a sticker for £1. How much does Emily spend in total?","£5","Addition, subtraction, multiplication and division (calculations)","add / subtract to solve problems",1,3,"1.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.711Z,"Year 1 Curriculum",
"C5_Q5","Ryan goes to the shop and buys a toy for £2, a badge for £10. How much does Ryan spend in total?","£12","Addition, subtraction, multiplication and division (calculations)","add / subtract to solve problems",1,3,"1.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.711Z,"Year 1 Curriculum",
"C6_Q1","Sophie goes to the shop and buys a banana for £20, a magazine for £7. How much does Sophie spend in total?","£27","Addition, subtraction, multiplication and division (calculations)","add / subtract to solve problems",2,3,"2.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.726Z,"Year 2 Curriculum",
"C6_Q2","Daniel goes to the shop and buys a pencil for £13, a biscuit for £6. How much does Daniel spend in total?","£19","Addition, subtraction, multiplication and division (calculations)","add / subtract to solve problems",2,3,"2.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.726Z,"Year 2 Curriculum",
"C6_Q3","Amy goes to the shop and buys a ruler for £11, a eraser for £7. How much does Amy spend in total?","£18","Addition, subtraction, multiplication and division (calculations)","add / subtract to solve problems",2,3,"2.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.726Z,"Year 2 Curriculum",
"C6_Q4","Lily goes to the shop and buys a poster for £6, a banana for £13. How much does Lily spend in total?","£19","Addition, subtraction, multiplication and division (calculations)","add / subtract to solve problems",2,3,"2.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.727Z,"Year 2 Curriculum",
"C6_Q5","Emma goes to the shop and buys a toy for £3, a comic for £14. How much does Emma spend in total?","£17","Addition, subtraction, multiplication and division (calculations)","add / subtract to solve problems",2,3,"2.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.727Z,"Year 2 Curriculum",
"C7_Q1","Daniel goes to the shop and buys a cake for £43, a sandwich for £46, a toy for £73. How much does Daniel spend in total?","£162","Addition, subtraction, multiplication and division (calculations)","add / subtract to solve problems",3,3,"3.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.742Z,"Year 3 Curriculum",
"C7_Q2","Jack goes to the shop and buys a poster for £77, a drink for £97, a banana for £54. How much does Jack spend in total?","£228","Addition, subtraction, multiplication and division (calculations)","add / subtract to solve problems",3,3,"3.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.743Z,"Year 3 Curriculum",
"C7_Q3","Katie goes to the shop and buys a apple for £99, a drink for £48, a eraser for £88. How much does Katie spend in total?","£235","Addition, subtraction, multiplication and division (calculations)","add / subtract to solve problems",3,3,"3.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.743Z,"Year 3 Curriculum",
"C7_Q4","Sam goes to the shop and buys a notebook for £83, a comic for £73, a banana for £100. How much does Sam spend in total?","£256","Addition, subtraction, multiplication and division (calculations)","add / subtract to solve problems",3,3,"3.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.743Z,"Year 3 Curriculum",
"C7_Q5","Add together: £76, £18, £51. What is the total?","£145","Addition, subtraction, multiplication and division (calculations)","add / subtract to solve problems",3,3,"3.3","ADDITION","ADDITION; SUBTRACTION",Yes,Money,Completed,5,2025-09-24T11:17:00.743Z,"Year 3 Curriculum",
"C8_Q1","Grace goes to the shop and buys a badge for £72.71, a sticker for £73.99, a chocolate for £76.63. How much does Grace spend in total?","£223.33","Addition, subtraction, multiplication and division (calculations)","add / subtract to solve problems",4,3,"4.3","ADDITION","ADDITION; SUBTRACTION; MULTI_STEP",Yes,Money,Completed,5,2025-09-24T11:17:00.759Z,"Year 4 Curriculum",
"C8_Q2","Amy goes to the shop and buys a game for £96.09, a pencil for £35.91, a comic for £1.52. How much does Amy spend in total?","£133.52","Addition, subtraction, multiplication and division (calculations)","add / subtract to solve problems",4,3,"4.3","ADDITION","ADDITION; SUBTRACTION; MULTI_STEP",Yes,Money,Completed,5,2025-09-24T11:17:00.759Z,"Year 4 Curriculum",
"C8_Q3","Add together: £98.92, £67.02, £38.76. What is the total?","£204.70","Addition, subtraction, multiplication and division (calculations)","add / subtract to solve problems",4,3,"4.3","ADDITION","ADDITION; SUBTRACTION; MULTI_STEP",Yes,Money,Completed,5,2025-09-24T11:17:00.759Z,"Year 4 Curriculum",
